pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,13,1,53,1,,,,,127.85640749998856,,127.84234800003469,127.85640749998856,128.85637569997925,128.85637569997925,128.85637569997925,128.85637569997925,128.85637569997925,129.85595029999968,129.85595029999968,130.34031530003995,v,1,0.4783647999865934,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,13,2,54,2,,,,,130.35612010001205,,130.34185980004258,130.35612010001205,131.35558600001968,131.35558600001968,131.35558600001968,131.35558600001968,131.35558600001968,132.35520909994375,132.35520909994375,132.7067600999726,c,1,0.3490213999757543,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,13,3,55,3,,,,,132.72191129997373,,132.70858470001258,132.72191129997373,133.72178140003234,133.72178140003234,133.72178140003234,133.72178140003234,133.72178140003234,134.72155679995194,134.72155679995194,134.9724303999683,z,1,0.2480146000161767,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,14,0,56,0,,,,,134.98796369996853,,134.97414199996274,134.98796369996853,135.98757120000664,135.98757120000664,135.98757120000664,135.98757120000664,135.98757120000664,136.98742120002862,136.98742120002862,137.57164989993908,x,1,0.5803551999852061,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,14,1,57,1,,,,,137.5872512999922,,137.57326410000678,137.5872512999922,138.58732099994086,138.58732099994086,138.58732099994086,138.58732099994086,138.58732099994086,139.58675080002286,139.58675080002286,140.22096429998055,v,1,0.6308348999591544,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,14,2,58,2,,,,,140.2364491999615,,140.22229810000863,140.2364491999615,141.23614239995368,141.23614239995368,141.23614239995368,141.23614239995368,141.23614239995368,142.2360553999897,142.2360553999897,142.57049990002997,c,1,0.3175384000642225,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,14,3,59,3,,,,,142.58580719993915,,142.57232169993222,142.58580719993915,143.58555389998946,143.58555389998946,143.58555389998946,143.58555389998946,143.58555389998946,144.58522509993054,144.58522509993054,144.8862393000163,z,1,0.2984412000514567,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,15,0,60,0,,,,,144.90180889994372,,144.88771030004136,144.90180889994372,145.9015398999909,145.9015398999909,145.9015398999909,145.9015398999909,145.9015398999909,146.90158039995003,146.90158039995003,147.28554389998317,x,1,0.3751228000037372,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,15,1,61,1,,,,,147.30112499999814,,147.2870081999572,147.30112499999814,148.30138660001103,148.30138660001103,148.30138660001103,148.30138660001103,148.30138660001103,149.30050090001896,149.30050090001896,149.61853939993307,v,1,0.31267530005425215,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,15,2,62,2,,,,,149.63382200000342,,149.6200414999621,149.63382200000342,150.6338605999481,150.6338605999481,150.6338605999481,150.6338605999481,150.6338605999481,151.63332000002265,151.63332000002265,152.01767520001158,c,1,0.3763981000520289,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
